external_key,name,primary_muscle_group,equipment,notes
,Agachamento livre com barra,Quadríceps,,
,Agachamento frontal com barra,Quadríceps,,
,Agachamento goblet,Quadríceps,,
,Agachamento no box com barra,Quadríceps,,
,Agachamento goblet no box,Quadríceps,,
,Agachamento sumô com halter,Quadríceps,,
,Agachamento com barra em base ampla (sumô),Quadríceps,,legado a preservar/revisar
,Agachamento hack na máquina,Quadríceps,,
,Agachamento no Smith,Quadríceps,,
,Agachamento pendular,Quadríceps,,
,Agachamento com belt squat,Quadríceps,,
,Leg press 45°,Quadríceps,,
,Leg press horizontal,Quadríceps,,
,Leg press unilateral,Quadríceps,,
,Cadeira extensora,Quadríceps,,
,Cadeira extensora unilateral,Quadríceps,,
,Agachamento sissy assistido,Quadríceps,,
,Afundo estacionário com halteres,Quadríceps,,
,Agachamento búlgaro com halteres,Quadríceps,,
,Passada à frente com halteres,Quadríceps,,
,Passada reversa com halteres,Quadríceps,,
,Avanço caminhando com halteres,Quadríceps,,
,Step-up com halteres,Quadríceps,,
,Step-down no banco,Quadríceps,,
,Afundo lateral com halter,Quadríceps,,
,Agachamento cossaco com peso corporal,Quadríceps,,
,Isometria na parede,Quadríceps,,
,Agachamento espanhol com elástico,Quadríceps,,
,Levantamento terra convencional com barra,Posteriores da coxa,,
,Levantamento terra sumô com barra,Posteriores da coxa,,
,Levantamento terra com trap bar,Posteriores da coxa,,
,Levantamento terra romeno com barra,Posteriores da coxa,,
,Levantamento terra romeno com halteres,Posteriores da coxa,,
,Levantamento terra romeno unilateral com halter,Posteriores da coxa,,
,Levantamento terra romeno no cabo,Posteriores da coxa,,
,Good morning com barra,Posteriores da coxa,,
,Extensão lombar a 45°,Posteriores da coxa,,
,Hiperextensão reversa na máquina,Posteriores da coxa,,
,Mesa flexora,Posteriores da coxa,,
,Cadeira flexora,Posteriores da coxa,,
,Flexão de joelho unilateral em pé na máquina,Posteriores da coxa,,
,Flexão de joelho na bola suíça,Posteriores da coxa,,
,Flexão de joelho com sliders,Posteriores da coxa,,
,Nordic curl assistido,Posteriores da coxa,,
,Kettlebell swing,Posteriores da coxa,,
,Pull through no cabo,Posteriores da coxa,,
,Elevação pélvica com barra,Glúteos,,
,Elevação pélvica no Smith,Glúteos,,
,Elevação pélvica na máquina,Glúteos,,
,Elevação pélvica com halter,Glúteos,,
,Elevação pélvica unilateral com peso corporal,Glúteos,,
,Elevação pélvica unilateral com barra,Glúteos,,legado a preservar/revisar
,Ponte de glúteos,Glúteos,,
,Ponte de glúteos com barra,Glúteos,,
,Ponte de glúteo unilateral,Glúteos,,
,Frog pump,Glúteos,,
,Coice no cabo,Glúteos,,
,Coice com caneleira,Glúteos,,
,Coice na máquina,Glúteos,,
,Abdução de quadril na máquina,Glúteos,,
,Abdução de quadril em pé no cabo,Glúteos,,
,Abdução lateral deitada com caneleira,Glúteos,,
,Caminhada lateral com mini band,Glúteos,,
,Clamshell com mini band,Glúteos,,
,Adução de quadril na máquina,Glúteos,,
,Adução de quadril em pé no cabo,Glúteos,,
,Prancha Copenhagen com alavanca curta,Glúteos,,
,Fire hydrant com mini band,Glúteos,,
,Extensão de quadril em quatro apoios com elástico,Glúteos,,
,Panturrilha em pé na máquina,Panturrilhas,,
,Panturrilha sentada na máquina,Panturrilhas,,
,Panturrilha no leg press,Panturrilhas,,
,Panturrilha em pé no Smith,Panturrilhas,,
,Panturrilha unilateral com halter,Panturrilhas,,
,Panturrilha donkey na máquina,Panturrilhas,,
,Panturrilha unilateral no degrau com peso corporal,Panturrilhas,,
,Elevação do tibial anterior na parede,Panturrilhas,,
,Dorsiflexão com elástico,Panturrilhas,,
,Elevação de panturrilha sentada com halteres,Panturrilhas,,
,Supino reto com barra,Peito,,
,Supino inclinado com barra,Peito,,
,Supino declinado com barra,Peito,,
,Supino reto com halteres,Peito,,
,Supino inclinado com halteres,Peito,,
,Supino declinado com halteres,Peito,,
,Floor press com barra,Peito,,
,Floor press com halteres,Peito,,
,Chest press horizontal na máquina,Peito,,
,Supino convergente na máquina,Peito,,
,Supino inclinado na máquina,Peito,,
,Supino reto no Smith,Peito,,
,Supino inclinado no Smith,Peito,,
,Flexão de braços,Peito,,
,Flexão inclinada,Peito,,
,Flexão declinada,Peito,,
,Flexão com joelhos apoiados,Peito,,
,Flexão na suspensão,Peito,,
,Crossover no cabo na linha média,Peito,,
,Crossover alto para baixo,Peito,,
,Crossover baixo para alto,Peito,,
,Crucifixo no peck deck,Peito,,
,Crucifixo reto com halteres,Peito,,
,Crucifixo inclinado com halteres,Peito,,
,Barra fixa pronada,Costas,,
,Barra fixa supinada (chin-up),Costas,,
,Barra fixa com pegada neutra,Costas,,
,Barra fixa assistida,Costas,,
,Puxada alta pronada,Costas,,
,Puxada alta com triângulo neutro,Costas,,
,Puxada alta supinada,Costas,,
,Puxada alta unilateral ajoelhada no cabo,Costas,,
,Pulldown com braços estendidos e barra,Costas,,
,Pulldown com braços estendidos e corda,Costas,,
,Pullover na máquina,Costas,,
,Pullover com halter,Costas,,
,Elevação escapular na barra fixa,Costas,,
,Puxada alta com elástico,Costas,,
,Puxada alta bilateral ajoelhada no cabo,Costas,,
,Puxada dorsal na máquina com pegada neutra,Costas,,
,Remada curvada com barra pronada,Costas,,
,Remada curvada com barra supinada,Costas,,
,Remada Pendlay,Costas,,
,Remada cavalinho no landmine,Costas,,
,Remada T com apoio peitoral,Costas,,
,Remada unilateral com halter,Costas,,
,Remada bilateral com halteres e apoio peitoral,Costas,,
,Remada baixa no cabo com triângulo,Costas,,
,Remada baixa no cabo com barra pronada,Costas,,
,Remada unilateral no cabo,Costas,,
,Remada articulada neutra na máquina,Costas,,
,Remada articulada pronada na máquina,Costas,,
,Remada com apoio peitoral na máquina,Costas,,
,Remada invertida,Costas,,
,Remada na suspensão,Costas,,
,Seal row com barra,Costas,,
,Remada Meadows,Costas,,
,Remada alta para deltoide posterior com halteres,Costas,,
,Remada com elástico,Costas,,
,Renegade row com halteres,Costas,,
,Gorilla row com kettlebells,Costas,,
,Remada unilateral no landmine,Costas,,
,Desenvolvimento militar em pé com barra,Ombros,,
,Desenvolvimento sentado com barra,Ombros,,
,Desenvolvimento sentado com halteres,Ombros,,
,Desenvolvimento em pé com halteres,Ombros,,
,Desenvolvimento Arnold,Ombros,,
,Desenvolvimento na máquina,Ombros,,
,Landmine press unilateral meio-ajoelhado,Ombros,,
,Landmine press bilateral em pé,Ombros,,
,Elevação lateral com halteres,Ombros,,
,Elevação lateral unilateral no cabo,Ombros,,
,Elevação lateral na máquina,Ombros,,
