external_key,name,primary_muscle_group,equipment,visual_hint
legacy:supino-reto-com-barra,Supino reto com barra,Peito,Barra,"Deitado em banco reto, barra sobre o peito, pegada média."
legacy:afundo-com-halteres,Afundo com halteres,Quadríceps,Halteres,"Afundo estacionário, pés permanecem no lugar; um halter em cada mão."
legacy:ponte-de-gluteo-unilateral,Ponte de glúteo unilateral,Glúteos,Peso corporal,"No chão, uma planta do pé apoiada e a outra perna elevada; sem banco."
legacy:remada-baixa,Remada baixa,Costas,Cabo,"Sentado na polia baixa usando triângulo de pegada neutra."
legacy:puxada-dorsal-na-maquina,Puxada dorsal na máquina,Costas,Máquina,"Sentado em máquina de puxada vertical com pegada neutra."
legacy:pull-through-no-cabo,Pull through no cabo,Glúteos,Cabo,"Em pé de costas para a polia baixa, corda passando entre as pernas."
legacy:desenvolvimento-com-halteres,Desenvolvimento com halteres,Ombros,Halteres,"Sentado em banco com encosto, um halter em cada mão acima dos ombros."
legacy:elevacao-lateral-com-halteres,Elevação lateral com halteres,Ombros,Halteres,"Em pé, braços elevados lateralmente até a linha dos ombros."
legacy:triceps-na-polia-com-corda,Tríceps na polia com corda,Tríceps,Cabo,"Em pé diante da polia alta, extensão dos cotovelos usando corda."
legacy:rosca-direta-com-barra,Rosca direta com barra,Bíceps,Barra,"Em pé, barra reta à frente do corpo, cotovelos estáveis."
legacy:agachamento-livre,Agachamento livre,Quadríceps,Barra,"Agachamento livre com barra apoiada nas costas dentro de um rack."
legacy:agachamento-goblet,Agachamento goblet,Quadríceps,Halteres,"Em pé, um halter vertical segurado junto ao peito."
legacy:agachamento-sumo,Agachamento sumô,Quadríceps,Barra,"Agachamento com barra nas costas e base ampla, pés apontados para fora."
legacy:cadeira-extensora,Cadeira extensora,Quadríceps,Máquina,"Sentado na cadeira extensora, rolo acolchoado à frente dos tornozelos; anatomia coberta."
legacy:cadeira-flexora,Cadeira flexora,Posteriores da coxa,Máquina,"Sentado na cadeira flexora, flexionando os joelhos contra o rolo."
legacy:leg-press-45,Leg press 45°,Quadríceps,Máquina,"Deitado no leg press inclinado a 45 graus, ambos os pés na plataforma."
legacy:passada-com-halteres,Passada com halteres,Quadríceps,Halteres,"Passada dinâmica à frente, um halter em cada mão."
legacy:step-up-com-halteres,Step-up com halteres,Quadríceps,Halteres,"Subida em banco estável, um pé totalmente apoiado, halter em cada mão."
legacy:stiff-com-barra,Stiff com barra,Posteriores da coxa,Barra,"Dobradiça de quadril com joelhos apenas levemente flexionados e barra próxima às pernas."
legacy:levantamento-terra-romeno,Levantamento terra romeno,Posteriores da coxa,Barra,"Dobradiça de quadril com barra, joelhos levemente flexionados, barra próxima às pernas."
legacy:abducao-com-elastico,Abdução com elástico,Glúteos,Elástico,"Em pé, mini band acima dos joelhos, abrindo uma perna lateralmente com apoio estável."
legacy:abducao-de-quadril-na-maquina,Abdução de quadril na máquina,Glúteos,Máquina,"Sentado na máquina abdutora, almofadas na parte externa dos joelhos; anatomia coberta."
legacy:coice-com-caneleira,Coice com caneleira,Glúteos,Caneleira,"Em quatro apoios no colchonete, uma caneleira e uma perna estendendo para trás."
legacy:coice-no-cabo,Coice no cabo,Glúteos,Cabo,"Em pé de frente para polia baixa, tornozeleira presa ao cabo e perna estendendo para trás."
legacy:elevacao-pelvica-com-barra,Elevação pélvica com barra,Glúteos,Barra,"Escápulas apoiadas em banco, barra acolchoada sobre o quadril."
legacy:elevacao-pelvica-unilateral-com-barra,Elevação pélvica unilateral com barra,Glúteos,Barra,"Escápulas no banco, barra acolchoada no quadril, um pé apoiado e outra perna elevada."
legacy:ponte-de-gluteos,Ponte de glúteos,Glúteos,Peso corporal,"Deitado no chão, ambos os pés apoiados, elevando a pelve; sem banco."
legacy:frog-pump,Frog pump,Glúteos,Peso corporal,"Deitado no chão, solas dos pés unidas e joelhos abertos, elevando a pelve."
